,Países,Inmigrantes hombres,Inmigrantes mujeres,Inmigrantes,% Inmigrantes,Var.
0,España,838.058,819.227,1.657.285,"4,08%","1,52"
1,Alemania,4.503.666,4.488.965,8.992.631,"10,93%","1,81"
2,Reino Unido,2.228.628,2.501.537,4.730.165,"8,02%","0,87"
3,Francia,3.092.789,3.185.929,6.278.718,"10,30%","0,07"
4,Italia,976.691,1.144.997,2.121.688,"3,72%","0,60"
5,Portugal,320.319,331.153,651.472,"6,31%","1,00"
6,Estados Unidos,17.310.785,17.503.268,34.814.053,"12,34%","1,66"
7,Japón,796.928,889.516,1.686.444,"1,33%","0,24"
8,China,254.082,253.952,508.034,"0,04%",0
9,Andorra,22.093,20.054,42.147,"64,01%","-5,21"
10,Emiratos Árabes Unidos,1.757.200,689.810,2.447.010,"81,70%","6,04"
11,Afganistán,42.848,33.069,75.917,"0,37%","-0,02"
12,Antigua y Barbuda,10.316,12.755,23.071,"30,36%","4,17"
13,Albania,35.990,40.705,76.695,"2,50%","0,22"
14,Armenia,270.170,387.730,657.900,"20,46%","-0,90"
15,Angola,23.367,22.741,46.108,"0,27%",0
16,Argentina,717.924,822.295,1.540.219,"4,19%","-0,40"
17,Austria,478.318,518.229,996.547,"12,42%","1,17"
18,Australia,2.189.900,2.196.350,4.386.250,"22,92%",0
19,Azerbaiyán,141.161,186.379,327.540,"4,05%","-0,40"
20,Bosnia y Herzegovina,39.691,43.261,82.952,"2,19%","0,39"
21,Barbados,12.405,16.019,28.424,"10,53%","0,63"
22,Bangladés,531.907,455.946,987.853,"0,77%","-0,04"
23,Bélgica,636.275,632.093,1.268.368,"12,36%","-0,34"
24,Burkina Faso,250.555,269.808,520.363,"4,48%","-0,12"
25,Bulgaria,18.238,25.122,43.360,"0,53%","0,14"
26,Baréin,165.344,74.017,239.361,"37,52%","0,67"
27,Burundi,61.094,64.534,125.628,"1,88%","-2,38"
28,Benín,72.190,62.465,134.655,"1,96%","0,17"
29,Brunéi,53.807,42.489,96.296,"29,63%","0,10"
30,Bolivia,47.665,44.993,92.658,"1,10%",0
31,Brasil,366.156,318.440,684.596,"0,39%","-0,08"
32,Bahamas,19.414,17.040,36.454,"12,03%","0,68"
33,Bután,26.200,5.937,32.137,"5,76%","0,20"
34,Botsuana,43.840,31.094,74.934,"4,56%","1,85"
35,Bielorrusia,514.593,608.993,1.123.586,"11,25%","-0,41"
36,Belice,18.631,17.857,36.488,"14,60%","-0,81"
37,Canadá,2.659.135,2.852.779,5.511.914,"17,96%","1,36"
38,República Democrática del Congo,365.092,379.295,744.387,"1,55%","-2,82"
39,República Centroafricana,65.636,57.893,123.529,"3,40%","0,36"
40,República del Congo,153.107,152.773,305.880,"10,71%","3,12"
